,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
flaxseedPrice,-0.072968453,-0.092724615,-0.06540939,-0.080616378,0.349586722,0.352634264,0.818474191,0.417846734,0.032090907,0.16369155,0.010175969,1,-0.440625377,-0.515676971,0.159972476,0.227879176,0.252487187,-0.344065639,0.369043787,0.315138871,0.215199427,0.632037029
soybeanOilPrice,0.744694112,0.733854382,0.75546243,0.743927651,0.12211493,0.039865945,-0.414133378,-0.59352978,-0.096449474,0.579874115,0.505029312,-0.440625377,1,0.16586818,0.585341682,0.455130206,-0.085832151,0.792320697,0.253624564,0.29928238,0.50090469,-0.416140918
cottonseedOilPrice,0.007839828,0.036524952,-0.014372048,0.004955515,-0.395131866,-0.28269257,-0.474877406,-0.177873601,0.393720449,-0.253507649,-0.331266986,-0.515676971,0.16586818,1,-0.229313802,-0.606212701,-0.574485932,0.084201846,-0.507542217,-0.634184987,-0.062147403,-0.381041058
sunflowerseedOilPrice,0.397329597,0.366524955,0.420709284,0.390692581,0.481696418,0.381796975,-0.001502073,-0.358049079,-0.211517861,0.541635763,0.341720199,0.159972476,0.585341682,-0.229313802,1,0.556059018,0.246482372,0.629394051,0.188512891,0.371851698,0.317332915,-0.016980234
canolaOilPrice,0.351149392,0.321734346,0.371279142,0.350715474,0.465026679,0.380135252,-0.014603787,-0.054250985,-0.549057972,0.385614609,0.463400499,0.227879176,0.455130206,-0.606212701,0.556059018,1,0.205842353,0.330040825,0.289903493,0.420632009,0.310346952,-0.017122864
peanutOilPrice,-0.18180928,-0.20758279,-0.153202361,-0.177917871,0.032598283,-0.115434587,0.403320882,-0.105707881,0.024676288,0.11636941,0.508631827,0.252487187,-0.085832151,-0.574485932,0.246482372,0.205842353,1,0.290386189,0.483257849,0.361354004,-0.38440484,0.486667507
cornOilPrice,0.47889535,0.457853092,0.50005025,0.476774879,0.091495247,-0.043769906,-0.251980998,-0.557082741,0.011709883,0.553455599,0.509953974,-0.344065639,0.792320697,0.084201846,0.629394051,0.330040825,0.290386189,1,0.324013266,0.160806926,0.24677361,-0.056582129
soybeanMealPrice,0.504550941,0.48397436,0.5226873,0.504472855,0.158599822,0.033605896,0.644697009,-0.123169931,0.22828976,0.753710038,0.629951816,0.369043787,0.253624564,-0.507542217,0.188512891,0.289903493,0.483257849,0.324013266,1,0.734607819,0.510879035,0.475413952
cottonseedmealPrice,0.501888684,0.482045438,0.517678863,0.503059478,0.346273627,0.203243019,0.460005298,-0.106863213,-0.129943318,0.684327116,0.596809807,0.315138871,0.29928238,-0.634184987,0.371851698,0.420632009,0.361354004,0.160806926,0.734607819,1,0.449647561,0.194178856
sunflowerseedMealPrice,0.796474233,0.787295428,0.796361636,0.789612457,0.395463748,0.366818259,0.228388881,-0.126678682,0.047536668,0.759226411,0.216540115,0.215199427,0.50090469,-0.062147403,0.317332915,0.310346952,-0.38440484,0.24677361,0.510879035,0.449647561,1,-0.069577559
linseedMealPrice,-0.209287754,-0.228473923,-0.197877222,-0.215937075,-0.137716623,-0.185670681,0.694663329,0.198421952,0.328962451,0.206021263,0.099219241,0.632037029,-0.416140918,-0.381041058,-0.016980234,-0.017122864,0.486667507,-0.056582129,0.475413952,0.194178856,-0.069577559,1
