,date,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,Month,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
15,12/06/2017,1014.25,1014.25,1014.25,1014.25,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
16,12/07/2017,1005.25,1005.25,1005.25,1005.25,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
17,12/08/2017,1004.0,1004.0,1004.0,1004.0,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
18,12/11/2017,1000.0,1000.0,1000.0,1000.0,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
19,12/12/2017,995.5,995.5,995.5,995.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
20,12/13/2017,998.5,998.5,998.5,998.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
21,12/14/2017,992.0,992.0,992.0,992.0,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
22,12/15/2017,992.25,992.25,992.25,992.25,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
23,12/18/2017,988.5,988.5,988.5,988.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
24,12/19/2017,984.25,984.25,984.25,984.25,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
25,12/20/2017,984.0,984.0,984.0,984.0,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
26,12/21/2017,984.25,984.25,984.25,984.25,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
27,12/22/2017,984.5,984.5,984.5,984.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
28,12/26/2017,992.5,992.5,992.5,992.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
29,12/27/2017,992.25,992.25,992.25,992.25,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
30,12/28/2017,987.5,987.5,987.5,987.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
31,12/29/2017,989.0,989.0,989.0,989.0,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
32,01/02/2018,994.0,994.0,994.0,994.0,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
33,01/03/2018,994.75,994.75,994.75,994.75,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
34,01/04/2018,994.25,994.25,994.25,994.25,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
35,01/05/2018,995.75,995.75,995.75,995.75,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
36,01/08/2018,994.75,994.75,994.75,994.75,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
37,01/09/2018,993.75,993.75,993.75,993.75,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
38,01/10/2018,986.75,986.75,986.75,986.75,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
39,01/11/2018,985.0,985.0,985.0,985.0,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
40,01/12/2018,996.75,996.75,996.75,996.75,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
41,01/16/2018,999.5,999.5,999.5,999.5,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
42,01/17/2018,999.5,999.5,999.5,999.5,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
43,01/18/2018,1003.5,1003.5,1003.5,1003.5,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
44,01/19/2018,1003.5,1003.5,1003.5,1003.5,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
45,01/22/2018,1006.5,1006.5,1006.5,1006.5,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
46,01/23/2018,1008.75,1008.75,1008.75,1008.75,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
47,01/24/2018,1011.25,1011.25,1011.25,1011.25,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
48,01/25/2018,1012.25,1012.25,1012.25,1012.25,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
49,01/26/2018,1009.0,1009.0,1009.0,1009.0,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
50,01/29/2018,1011.5,1011.5,1011.5,1011.5,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
51,01/30/2018,1014.5,1014.5,1014.5,1014.5,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
52,01/31/2018,1011.75,1011.75,1011.75,1011.75,4730.6,4320.6,3968.4,1728.6,17.6,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259.0,178.0,215.5
53,02/01/2018,1007.25,1007.25,1007.25,1007.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
54,02/02/2018,1001.5,1001.5,1001.5,1001.5,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
55,02/05/2018,996.5,996.5,996.5,996.5,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
56,02/06/2018,1008.25,1008.25,1008.25,1008.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
57,02/07/2018,1004.25,1004.25,1004.25,1004.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
58,02/08/2018,1007.75,1007.75,1007.75,1007.75,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
59,02/09/2018,1003.5,1003.5,1003.5,1003.5,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
60,02/12/2018,1010.25,1010.25,1010.25,1010.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
61,02/13/2018,1010.25,1010.25,1010.25,1010.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
62,02/14/2018,1006.75,1006.75,1006.75,1006.75,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
63,02/15/2018,1011.25,1011.25,1011.25,1011.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
64,02/16/2018,1010.5,1010.5,1010.5,1010.5,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
65,02/20/2018,1012.75,1012.75,1012.75,1012.75,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
66,02/21/2018,1013.25,1013.25,1013.25,1013.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
67,02/22/2018,1012.25,1012.25,1012.25,1012.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
68,02/23/2018,1014.75,1014.75,1014.75,1014.75,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
69,02/26/2018,1015.25,1015.25,1015.25,1015.25,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
70,02/27/2018,1013.75,1013.75,1013.75,1013.75,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
71,02/28/2018,1013.0,1013.0,1013.0,1013.0,4357.7,3901.9,4170.6,1745.3,17.7,February,18.3,22.7,9.81,30.63,31.44,55.0,37.44,66.63,29.72,362.85,303.13,185.63,233.13
72,03/01/2018,1013.25,1013.25,1013.25,1013.25,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
73,03/02/2018,1008.25,1008.25,1008.25,1008.25,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
74,03/05/2018,1012.25,1012.25,1012.25,1012.25,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
75,03/06/2018,1019.75,1019.75,1019.75,1019.75,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
76,03/07/2018,1020.0,1020.0,1020.0,1020.0,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
77,03/08/2018,1020.0,1020.0,1020.0,1020.0,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
78,03/09/2018,1009.25,1009.25,1009.25,1009.25,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
79,03/12/2018,1016.5,1016.5,1016.5,1016.5,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
80,03/13/2018,1021.75,1021.75,1021.75,1021.75,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
81,03/14/2018,1010.5,1010.5,1010.5,1010.5,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
82,03/15/2018,1012.25,1012.25,1012.25,1012.25,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
83,03/16/2018,1017.5,1017.5,1017.5,1017.5,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
84,03/19/2018,1009.75,1009.75,1009.75,1009.75,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
85,03/20/2018,1011.5,1011.5,1011.5,1011.5,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
86,03/21/2018,1010.5,1010.5,1010.5,1010.5,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
87,03/22/2018,1010.25,1010.25,1010.25,1010.25,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
88,03/23/2018,1009.25,1009.25,1009.25,1009.25,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
89,03/26/2018,1008.75,1008.75,1008.75,1008.75,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
90,03/27/2018,1004.25,1004.25,1004.25,1004.25,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
91,03/28/2018,1000.75,1000.75,1000.75,1000.75,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
92,03/29/2018,1017.0,1017.0,1017.0,1017.0,4816.9,4272.7,4525.6,2081.2,17.3,March,18.2,24.4,9.76,30.28,31.35,54.0,37.1,67.0,29.66,379.85,323.13,187.5,237.5
93,04/02/2018,1005.75,1005.75,1005.75,1005.75,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
94,04/03/2018,1005.75,1005.75,1005.75,1005.75,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
95,04/04/2018,993.5,993.5,993.5,993.5,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
96,04/05/2018,1000.0,1000.0,1000.0,1000.0,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
97,04/06/2018,999.5,999.5,999.5,999.5,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
98,04/09/2018,999.75,999.75,999.75,999.75,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
99,04/10/2018,1004.5,1004.5,1004.5,1004.5,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
100,04/11/2018,1003.75,1003.75,1003.75,1003.75,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
101,04/12/2018,1001.25,1001.25,1001.25,1001.25,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
102,04/13/2018,998.75,998.75,998.75,998.75,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
103,04/16/2018,993.75,993.75,993.75,993.75,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
104,04/17/2018,995.0,995.0,995.0,995.0,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
105,04/18/2018,999.75,999.75,999.75,999.75,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
106,04/19/2018,1001.0,1001.0,1001.0,1001.0,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
107,04/20/2018,996.0,996.0,996.0,996.0,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
108,04/23/2018,994.0,994.0,994.0,994.0,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
109,04/24/2018,990.25,990.25,990.25,990.25,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
110,04/25/2018,992.25,992.25,992.25,992.25,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
111,04/26/2018,991.25,991.25,991.25,991.25,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
112,04/27/2018,1000.0,1000.0,1000.0,1000.0,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
113,04/30/2018,1000.0,1000.0,1000.0,1000.0,4662.0,4209.9,4438.1,1749.3,18.0,April,17.5,23.3,9.92,29.7,31.19,54.0,37.31,66.88,29.5,385.84,263.13,191.88,238.13
114,05/01/2018,1006.75,1006.75,1006.75,1006.75,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
115,05/02/2018,999.0,999.0,999.0,999.0,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
116,05/03/2018,999.25,999.25,999.25,999.25,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
117,05/04/2018,996.25,996.25,996.25,996.25,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
118,05/07/2018,983.5,983.5,983.5,983.5,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
119,05/08/2018,985.5,985.5,985.5,985.5,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
120,05/09/2018,982.25,982.25,982.25,982.25,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
121,05/10/2018,987.0,987.0,987.0,987.0,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
122,05/11/2018,983.75,983.75,983.75,983.75,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
123,05/14/2018,984.75,984.75,984.75,984.75,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
124,05/15/2018,984.75,984.75,984.75,984.75,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
125,05/16/2018,984.0,984.0,984.0,984.0,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
126,05/17/2018,983.0,983.0,983.0,983.0,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
127,05/18/2018,983.0,983.0,980.5,980.5,4602.0,4168.8,4689.4,2315.3,17.9,May,18.5,22.7,10.1,29.4,31.25,54.0,38.25,66.5,29.65,393.55,262.5,201.5,267.5
