,Date,sellHold
221,10/2/18,
222,10/3/18,
223,10/4/18,
224,10/5/18,
225,10/8/18,
226,10/9/18,
227,10/10/18,
228,10/11/18,
229,10/12/18,
230,10/15/18,
231,10/16/18,
232,10/17/18,
233,10/18/18,
234,10/19/18,
235,10/22/18,
236,10/23/18,
237,10/24/18,
238,10/25/18,
239,10/26/18,
240,10/29/18,
241,10/30/18,
242,10/31/18,
243,11/1/18,
244,11/2/18,
245,11/5/18,
246,11/6/18,
247,11/7/18,
248,11/8/18,
249,11/9/18,
250,11/12/18,
251,11/13/18,
252,11/14/18,
253,11/15/18,
254,11/16/18,
255,11/19/18,
256,11/20/18,
257,11/21/18,
258,11/23/18,
259,11/26/18,
260,11/27/18,
261,11/28/18,
262,11/29/18,
263,11/30/18,
264,12/3/18,
265,12/4/18,
266,12/5/18,
267,12/6/18,
268,12/7/18,
269,12/10/18,
270,12/11/18,
271,12/12/18,
272,12/13/18,
273,12/14/18,
274,12/17/18,
275,12/18/18,
276,12/19/18,
277,12/20/18,
278,12/21/18,
279,12/24/18,
280,12/26/18,
281,12/27/18,
282,12/28/18,
283,12/31/18,
284,1/2/19,
285,1/3/19,
286,1/4/19,
287,1/7/19,
288,1/8/19,
289,1/9/19,
290,1/10/19,
291,1/11/19,
292,1/14/19,
293,1/15/19,
294,1/16/19,
295,1/17/19,
296,1/18/19,
297,1/22/19,
298,1/23/19,
299,1/24/19,
300,1/25/19,
301,1/28/19,
302,1/29/19,
303,1/30/19,
304,1/31/19,
305,2/1/19,
306,2/4/19,
307,2/5/19,
308,2/6/19,
309,2/7/19,
310,2/8/19,
311,2/11/19,
312,2/12/19,
313,2/13/19,
314,2/14/19,
315,2/15/19,
316,2/19/19,
317,2/20/19,
318,2/21/19,
319,2/22/19,
320,2/25/19,
321,2/26/19,
322,2/27/19,
323,2/28/19,
324,3/1/19,
325,3/4/19,
326,3/5/19,
327,3/6/19,
328,3/7/19,
329,3/8/19,
330,3/11/19,
331,3/12/19,
332,3/13/19,
333,3/14/19,
334,3/15/19,
335,3/18/19,
336,3/19/19,
337,3/20/19,
338,3/21/19,
339,3/22/19,
340,3/25/19,
341,3/26/19,
342,3/27/19,
343,3/28/19,
344,3/29/19,
345,4/1/19,
346,4/2/19,
347,4/3/19,
348,4/4/19,
349,4/5/19,
350,4/8/19,
351,4/9/19,
352,4/10/19,
353,4/11/19,
354,4/12/19,
355,4/15/19,
356,4/16/19,
357,4/17/19,
358,4/18/19,
359,4/22/19,
360,4/23/19,
361,4/24/19,
362,4/25/19,
363,4/26/19,
364,4/29/19,
365,4/30/19,
366,5/1/19,
367,5/2/19,
368,5/3/19,
369,5/6/19,
370,5/7/19,
371,5/8/19,
372,5/9/19,
373,5/10/19,
374,5/13/19,
375,5/14/19,
376,5/15/19,
377,5/16/19,
378,5/17/19,
379,5/20/19,
380,5/21/19,
381,5/22/19,
382,5/23/19,
383,5/24/19,
384,5/28/19,
385,5/29/19,
386,5/30/19,
387,5/31/19,
388,6/3/19,
389,6/4/19,
390,6/5/19,
391,6/6/19,
392,6/7/19,
393,6/10/19,
394,6/11/19,
395,6/12/19,
396,6/13/19,
397,6/14/19,
398,6/17/19,
399,6/18/19,
400,6/19/19,
401,6/20/19,
402,6/21/19,
403,6/24/19,
404,6/25/19,
405,6/26/19,
406,6/27/19,
407,6/28/19,
408,7/1/19,
409,7/2/19,
410,7/3/19,
411,7/4/19,
412,7/5/19,
413,7/8/19,
414,7/9/19,
415,7/10/19,
416,7/11/19,
417,7/12/19,
418,7/15/19,
419,7/16/19,
420,7/17/19,
421,7/18/19,
422,7/19/19,
423,7/22/19,
424,7/23/19,
425,7/24/19,
426,7/25/19,
427,7/26/19,
428,7/29/19,
429,7/30/19,
430,7/31/19,
431,8/1/19,
432,8/2/19,
433,8/5/19,
434,8/6/19,
435,8/7/19,
436,8/8/19,
437,8/9/19,
438,8/12/19,
439,8/13/19,
440,8/14/19,
441,8/15/19,
442,8/16/19,
443,8/19/19,
444,8/20/19,
445,8/21/19,
446,8/22/19,
447,8/23/19,
448,8/26/19,
449,8/27/19,
450,8/28/19,
451,8/29/19,
452,8/30/19,
453,9/2/19,0
454,9/3/19,0
455,9/4/19,0
456,9/5/19,0
457,9/6/19,0
458,9/9/19,0
459,9/10/19,0
460,9/11/19,0
461,9/12/19,0
462,9/13/19,0
463,9/16/19,0
464,9/17/19,0
465,9/18/19,0
466,9/19/19,0
467,9/20/19,0
468,9/23/19,0
469,9/24/19,0
470,9/25/19,0
471,9/26/19,0
472,9/27/19,0
473,9/30/19,0
474,10/1/19,0
475,10/2/19,0
476,10/3/19,0
477,10/4/19,0
478,10/7/19,0
479,10/8/19,0
480,10/9/19,0
481,10/10/19,0
482,10/11/19,0
483,10/14/19,0
484,10/15/19,0
485,10/16/19,0
486,10/17/19,0
487,10/18/19,0
488,10/21/19,0
489,10/22/19,0
490,10/23/19,0
491,10/24/19,0
492,10/25/19,0
493,10/28/19,0
494,10/29/19,0
495,10/30/19,0
496,10/31/19,1
497,11/1/19,
498,11/4/19,
499,11/5/19,
500,11/6/19,
501,11/7/19,
502,11/8/19,
503,11/11/19,
504,11/12/19,
505,11/13/19,
506,11/14/19,
507,11/15/19,
508,11/18/19,
509,11/19/19,
510,11/20/19,
511,11/21/19,
512,11/22/19,
513,11/25/19,
514,11/26/19,
515,11/27/19,
516,11/28/19,
517,11/29/19,
518,12/2/19,
