date,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,Month,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
12/20/2017,984,984,984,984,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/21/2017,984.25,984.25,984.25,984.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/22/2017,984.5,984.5,984.5,984.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/26/2017,992.5,992.5,992.5,992.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/27/2017,992.25,992.25,992.25,992.25,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/28/2017,987.5,987.5,987.5,987.5,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
12/29/2017,989,989,989,989,"4,594.20","4,039.30","3,737.00","1,786.40",17.00,December,16.7,23,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185,209.17
01/02/2018,994,994,994,994,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/03/2018,994.75,994.75,994.75,994.75,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/04/2018,994.25,994.25,994.25,994.25,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/05/2018,995.75,995.75,995.75,995.75,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/08/2018,994.75,994.75,994.75,994.75,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/09/2018,993.75,993.75,993.75,993.75,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/10/2018,986.75,986.75,986.75,986.75,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/11/2018,985,985,985,985,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/12/2018,996.75,996.75,996.75,996.75,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/16/2018,999.5,999.5,999.5,999.5,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/17/2018,999.5,999.5,999.5,999.5,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/18/2018,1003.5,1003.5,1003.5,1003.5,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/19/2018,1003.5,1003.5,1003.5,1003.5,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/22/2018,1006.5,1006.5,1006.5,1006.5,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/23/2018,1008.75,1008.75,1008.75,1008.75,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/24/2018,1011.25,1011.25,1011.25,1011.25,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/25/2018,1012.25,1012.25,1012.25,1012.25,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/26/2018,1009,1009,1009,1009,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/29/2018,1011.5,1011.5,1011.5,1011.5,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/30/2018,1014.5,1014.5,1014.5,1014.5,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
01/31/2018,1011.75,1011.75,1011.75,1011.75,"4,730.60","4,320.60","3,968.40","1,728.60",17.60,January,17.7,22.9,9.39,31.61,32.75,55.5,38.31,66.13,30.68,322.6,259,178,215.5
02/01/2018,1007.25,1007.25,1007.25,1007.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/02/2018,1001.5,1001.5,1001.5,1001.5,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/05/2018,996.5,996.5,996.5,996.5,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/06/2018,1008.25,1008.25,1008.25,1008.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/07/2018,1004.25,1004.25,1004.25,1004.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/08/2018,1007.75,1007.75,1007.75,1007.75,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/09/2018,1003.5,1003.5,1003.5,1003.5,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/12/2018,1010.25,1010.25,1010.25,1010.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/13/2018,1010.25,1010.25,1010.25,1010.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/14/2018,1006.75,1006.75,1006.75,1006.75,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/15/2018,1011.25,1011.25,1011.25,1011.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/16/2018,1010.5,1010.5,1010.5,1010.5,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/20/2018,1012.75,1012.75,1012.75,1012.75,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/21/2018,1013.25,1013.25,1013.25,1013.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/22/2018,1012.25,1012.25,1012.25,1012.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/23/2018,1014.75,1014.75,1014.75,1014.75,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/26/2018,1015.25,1015.25,1015.25,1015.25,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/27/2018,1013.75,1013.75,1013.75,1013.75,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
02/28/2018,1013,1013,1013,1013,"4,357.70","3,901.90","4,170.60","1,745.30",17.70,February,18.3,22.7,9.81,30.63,31.44,55,37.44,66.63,29.72,362.85,303.13,185.63,233.13
03/01/2018,1013.25,1013.25,1013.25,1013.25,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/02/2018,1008.25,1008.25,1008.25,1008.25,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/05/2018,1012.25,1012.25,1012.25,1012.25,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/06/2018,1019.75,1019.75,1019.75,1019.75,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/07/2018,1020,1020,1020,1020,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/08/2018,1020,1020,1020,1020,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/09/2018,1009.25,1009.25,1009.25,1009.25,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/12/2018,1016.5,1016.5,1016.5,1016.5,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/13/2018,1021.75,1021.75,1021.75,1021.75,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/14/2018,1010.5,1010.5,1010.5,1010.5,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/15/2018,1012.25,1012.25,1012.25,1012.25,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/16/2018,1017.5,1017.5,1017.5,1017.5,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/19/2018,1009.75,1009.75,1009.75,1009.75,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/20/2018,1011.5,1011.5,1011.5,1011.5,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/21/2018,1010.5,1010.5,1010.5,1010.5,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/22/2018,1010.25,1010.25,1010.25,1010.25,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/23/2018,1009.25,1009.25,1009.25,1009.25,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/26/2018,1008.75,1008.75,1008.75,1008.75,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/27/2018,1004.25,1004.25,1004.25,1004.25,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/28/2018,1000.75,1000.75,1000.75,1000.75,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
03/29/2018,1017,1017,1017,1017,"4,816.90","4,272.70","4,525.60","2,081.20",17.30,March,18.2,24.4,9.76,30.28,31.35,54,37.1,67,29.66,379.85,323.13,187.5,237.5
04/02/2018,1005.75,1005.75,1005.75,1005.75,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/03/2018,1005.75,1005.75,1005.75,1005.75,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/04/2018,993.5,993.5,993.5,993.5,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/05/2018,1000,1000,1000,1000,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/06/2018,999.5,999.5,999.5,999.5,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/09/2018,999.75,999.75,999.75,999.75,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/10/2018,1004.5,1004.5,1004.5,1004.5,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/11/2018,1003.75,1003.75,1003.75,1003.75,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/12/2018,1001.25,1001.25,1001.25,1001.25,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/13/2018,998.75,998.75,998.75,998.75,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/16/2018,993.75,993.75,993.75,993.75,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/17/2018,995,995,995,995,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/18/2018,999.75,999.75,999.75,999.75,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/19/2018,1001,1001,1001,1001,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/20/2018,996,996,996,996,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/23/2018,994,994,994,994,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/24/2018,990.25,990.25,990.25,990.25,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/25/2018,992.25,992.25,992.25,992.25,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/26/2018,991.25,991.25,991.25,991.25,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/27/2018,1000,1000,1000,1000,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
04/30/2018,1000,1000,1000,1000,"4,662.00","4,209.90","4,438.10","1,749.30",18.00,April,17.5,23.3,9.92,29.7,31.19,54,37.31,66.88,29.5,385.84,263.13,191.88,238.13
05/01/2018,1006.75,1006.75,1006.75,1006.75,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/02/2018,999,999,999,999,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/03/2018,999.25,999.25,999.25,999.25,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/04/2018,996.25,996.25,996.25,996.25,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/07/2018,983.5,983.5,983.5,983.5,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/08/2018,985.5,985.5,985.5,985.5,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/09/2018,982.25,982.25,982.25,982.25,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/10/2018,987,987,987,987,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/11/2018,983.75,983.75,983.75,983.75,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/14/2018,984.75,984.75,984.75,984.75,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/15/2018,984.75,984.75,984.75,984.75,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/16/2018,984,984,984,984,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/17/2018,983,983,983,983,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/18/2018,983,983,980.5,980.5,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/21/2018,997.5,997.5,997.5,997.5,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/22/2018,999,999,999,999,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
05/23/2018,1006.25,1006.25,1006.25,1006.25,"4,602.00","4,168.80","4,689.40","2,315.30",17.90,May,18.5,22.7,10.1,29.4,31.25,54,38.25,66.5,29.65,393.55,262.5,201.5,267.5
